item_no,descr,item_vend_no,prc_1,lst_cost,categ_cod,subcat_cod,addl_descr_1,addl_descr_2,addl_descr_3,prof_alpha_1,prof_alpha_2,prof_alpha_3,nam,phone_1,ap_vend_no,vend_descr,vend_item_no,barcod,qty_on_hnd,lst_recv_dat,lst_sal_dat
22847,Golda Mist Spray 8oz,339,38,19.55,HOME,,,,,,,,Studio Cue,,,Golda Mist Spray 8oz,,,23,3/24/15,6/20/15
20572,Imitation of Christ,198,40,24,EXH CAT,NON-HAMMER,,EXH CAT,,William E Jones,,,Mack,,,Imitation of Christ,,,23,1/7/14,3/18/15
20803,A Quincy Jones Building Better,37913,60,0,EXH CAT,HAMMER PUB,,EXH CAT,,,,,PRESTEL,(888) 463-6110,,A Quincy Jones Building Better,9783791352657,,21,6/12/15,5/20/15
9352,MARK BRADFORD MERCHANT POSTERS,1208,50,27.5,BOOKS,CONTEMP,,core hcc,,"BRADFORD,M",107,,DAP/Perseus,800-343-4499,,MARK BRADFORD MERCHANT POSTERS,9780980024227,,21,6/10/15,6/27/15
24308,Giant Sequoia Crystal Growing,439,7,3.5,KIDS MERCH,,,,,,,,Copernicus,,,Giant Sequoia Crystal Growing,TFSEQ,,21,5/12/15,6/14/15
23513,Kaleidoscope colored pencils,92054,8,4,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Kaleidoscope colored pencils,128-091,,21,4/29/15,6/23/15
23702,Ed Ruscha Music Center poster,411,25,12.5,STATIONERY,POSTER,,,,,,,The Music Center,213.972.3330,,Ed Ruscha Music Center poster,,,21,2/11/15,2/27/15
23244,Autpointer stainless,368,6,2.745,HOME,DESKTOP,,,,,,,Autopoint,(608) 757-0021,,Autpointer stainless,402-1,,20,6/25/15,6/20/15
21447,Net Bag,255,25,13.75,ACCESSORY,BAGS,,,,,,,Kiosk,212.226.8601,,Net Bag,,,20,6/17/15,6/23/15
23734,Cute Critter Erasers,92054,3,1.5,KIDS MERCH,ART SUPPLY,,,MOQ 18,,,,INTERNATIONAL ARRIVALS,,,Cute Critter Erasers,112-049,,20,4/29/15,6/19/15
23178,simple hello notecard,365,3,1.5,STATIONERY,NOTECARD,,,,,,,Sapling Press,412 681 1003,,simple hello notecard,57,,20,3/26/15,5/28/15
23512,Mini Monsters scented markers,92054,4,2,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Mini Monsters scented markers,130-24,,20,3/24/15,6/28/15
22778,MILA t-shirt S,138,30,15,APPAREL,MERCHAND,,,,,,,American Apparel,,,MILA t-shirt S,2011P WHITE MADE IN,,20,6/27/14,6/20/15
22789,Graphite 5,443,13,0,BOOKS,GENERAL,,,,HAMMER,700,,UCLA AT THE HAMMER,,,Graphite 5,,,20,6/6/14,5/24/15
23173,Pen Skyline Grey Fountain,319,28,12.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,Pen Skyline Grey Fountain,FINE,,19,6/23/15,3/28/15
21438,Ideal Notebook Small,255,7,3.85,STATIONERY,JOURNALS,,Mexico,,,,,Kiosk,212.226.8601,,Ideal Notebook Small,,,19,6/17/15,6/19/15
23824,Meleko Mokgosi Mohn Award 2012,1,49.95,21.61,BOOKS,CAT,,,,,,,ARMAND HAMMER MUSEUM OF,,,Mohn Award 2012,,,19,6/12/15,6/21/15
24710,Jam Olallieberry,429,12.5,7.25,HOME,EDIBLES,,,Kevin West Public Program Fashion & Food,Sqirl,,,Sqirl,,,Jam Olallieberry,,,19,6/12/15,6/27/15
24526,Keyring Fabric Chef,106,10,4.4468,HOME,MISC,,,,,,,Third Drawer Down,,,Keyring Fabric Chef,,,19,6/3/15,6/11/15
24588,James Merrill,394,40,21.6,BOOKS,EVENTS,,,,,,,"RANDOM HOUSE, INC.",800-726-0600,,James Merrill,9780375413339,,19,6/3/15,6/4/15
24307,Saguaro Cactus Crystal Growing,439,7,3.5,KIDS MERCH,,,,,,,,Copernicus,,,Saguaro Cactus Crystal Growing,TFCACT,,19,5/12/15,6/27/15
24338,Sonia Dlaunay Pop-up,218,19.95,10.9725,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Sonia Dlaunay Pop-up,9781849763349,,19,4/30/15,6/4/15
23038,Notecard Wild Rose,260,3,1.375,STATIONERY,NOTECARD,,,,Herny Evans,,,Crane Creek Graphics,,,Notecard Wild Rose,786,,19,3/17/15,6/24/15
21994,Nickel Plated Paper clips,272,5,2.25,HOME,DESKTOP,,,,,,,Sweet Bella,,,Nickel Plated Paper clips,,,19,1/16/15,5/13/15
21711,Candle Dans l'atlier Cezanne,267,60,23.4,HOME,DECOR,,,,,,,Montherme Sarl,,,Candle Dans l'atlier Cezanne,,,19,10/24/14,6/19/15
22625,Casebook Mona Simpson,394,25.95,14.53,BOOKS,LIT,,EVENTS,,Mona Simpson,,,"RANDOM HOUSE, INC.",800-726-0600,,Casebook Mona Simpson,9780385351416,,19,5/9/14,5/29/14
24528,Keyring Fabric Word,106,10,4.4468,HOME,MISC,,,,,,,Third Drawer Down,,,Keyring Fabric Word,,,18,6/3/15,5/24/15
21854,parallel universe keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,parallel universe keychain,,,18,6/2/15,6/28/15
22548,72% Belize chocolate,324,8.5,4.25,HOME,EDIBLES,,,,,,,Dick Taylor Chocolate,,,"72% Belize, Toledo",,,18,4/29/15,6/19/15
23761,Brilliant Bee Crayon,92054,13,6.5,KIDS MERCH,ART SUPPLY,,,,,,,INTERNATIONAL ARRIVALS,,,Brilliant Bee Crayon,133-50,,18,4/29/15,5/28/15
23079,Lollipop Tangerine,323,7.5,3.5,HOME,EDIBLES,,,oregon strawberry,,,,Quin Candy,,,Lollipop Tangerine,,,18,4/24/15,6/28/15
22242,Notecard Tulips,260,3,1.375,STATIONERY,NOTECARD,,,,Herny Evans,,,Crane Creek Graphics,,,Notecard Tulips,753,,18,3/17/15,6/26/15
13060,HEAT WAVES IN A SWAMP,1,49.95,27.47,EXH CAT,HAMMER PUB,,EXH CAT,,"BURCHFIELD,C",107,,ARMAND HAMMER MUSEUM OF,,,HEAT WAVES IN A SWAMP,9783791343808,,18,6/18/14,5/23/15
23108,Frances Stark My Best Thing,1208,19.95,10.9725,BOOKS,CONTEMP,,,,,,,DAP/Perseus,800-343-4499,,Frances Stark My Best Thing,9783863351427,,17,6/10/15,6/10/15
21872,xoxoxo keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,xoxoxo keychain,ASST COLORS,,17,6/2/15,5/30/15
2502,Mark Bradford,300,75,40.5,BOOKS,CONTEMP,,core HCC,,"BEDFORD,C",107,,YALE UNIVERSITY PRESS,800-405-1619,,MARK BRADFORD,9780300163582,,17,5/28/15,6/28/15
24320,Twizzlie Lollipop Bakery,323,8,4,HOME,EDIBLES,,,oregon strawberry,,,,Quin Candy,,,Twizzlie Lollipop Blackberry,,,17,4/24/15,6/25/15
23584,Frog castanet,403,6,3,KIDS MERCH,,,,,,,,Greentones & Hohner,1-800-349-9541,,Frog castanet,3721,,17,2/26/15,6/13/15
21983,Green Fountain pen classic,319,28,12.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,Green Fountain pen classic,4250278604936,,16,6/23/15,6/28/15
22270,We Love Each Other,1891,9.95,4.975,BOOKS,CHILDREN,,,,,,,INDEPENDENT PUBLISHERS GROUP,,,We Love Each Other,9789888240562,,16,6/3/15,6/9/15
24167,Circles,1891,9.99,4.995,BOOKS,CHILDREN,,,,,,,INDEPENDENT PUBLISHERS GROUP,,,Circles,9789888240678,,16,6/3/15,6/23/15
24527,Keyring Fabric Staring,106,10,4.4468,HOME,MISC,,,,,,,Third Drawer Down,,,Keyring Fabric Staring,,,16,6/3/15,6/28/15
24529,Keyring Fabric Youth,106,10,4.4468,HOME,MISC,,,,,,,Third Drawer Down,,,Keyring Fabric Youth,,,16,6/3/15,6/24/15
23076,Lollipop Strawberry,323,7.5,3.75,HOME,EDIBLES,,,oregon strawberry,,,,Quin Candy,,,Lollipop Strawberry,,,16,4/24/15,6/13/15
23080,Best of Quin,323,16,6,HOME,EDIBLES,,,,,,,Quin Candy,,,Best of Quinn,,,16,4/24/15,6/20/15
24317,Hard Candy Cinnamon,323,5,2.5,HOME,EDIBLES,,,,,,,Quin Candy,,,Hard Candy Cinnamon,,,16,4/24/15,6/25/15
23987,Eventually Everything Connects,1208,40,22.4,BOOKS,CHILDREN,,,,,,,DAP/Perseus,800-343-4499,,Eventually Everything Connects,9781907704888,,16,2/26/15,5/24/15
23345,Be Calm onesie,106,25,12.52,APPAREL,MERCHAND,,,,,,,Third Drawer Down,,,Be Calm onesie,TTM-LBONESIE,,16,2/11/15,6/27/15
23658,Tree Happy New Year card,9042,4,2.25,STATIONERY,NOTECARD,,,,,,,CAROLYN SUZUKI GOODS,,,Tree Happy New Year card,210,,16,12/19/14,12/26/14
23136,Dusk forgive notecard,358,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Ferme A Papier,,,Dusk forgive notecard,GCL006,,16,8/13/14,3/15/15
24212,Corita Kent notecard set,218,19.99,10.7946,STATIONERY,NOTECARD,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Corita Kent notecard set,9780735343344,,15,6/25/15,5/24/15
21982,Red Rollerball pen classic,319,28,11,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,Red Rollerball pen classic,4250278605018,,15,6/23/15,5/24/15
23174,Pen Skyline Mint Fountain,319,28,12.5,HOME,DESKTOP,,,,,,,Elite Accessories,630 945 2710,,Pen Skyline Mint Fountain,FINE,,15,6/23/15,5/28/15
21446,Cat Toy,255,23,12.65,HOME,MISC,,Japan,,,,,Kiosk,212.226.8601,,Cat Toy,,,15,6/17/15,6/28/15
24321,Show Your Work,444,12.95,7.38,BOOKS,ART CRIT,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Show Your Work,9780761178972,,15,6/9/15,6/25/15
23809,Tea towel Corita Kent,106,32,14.6986,HOME,KITCHEN,,,,,,,Third Drawer Down,,,Corita Kent tea towel,TT072T,,15,6/3/15,6/25/15
21818,atelier keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,atelier keychain,,,15,6/2/15,6/20/15
22549,72% Madagascar chocolate,324,8.5,4.25,HOME,EDIBLES,,,,,,,Dick Taylor Chocolate,,,"72% Madagascar, Sambirano",,,15,4/29/15,6/24/15
23139,Dreams Come Chew,323,12,5.5,HOME,EDIBLES,,,,,,,Quin Candy,,,Dreams Come Chew,,,15,4/24/15,6/26/15
22660,Notecard Cityscape,308,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Red Cap,,,Notecard Cityscape,BLA1014,,15,3/26/15,6/27/15
21657,Jim Hodges Give More Than You,1208,65,35.75,BOOKS,CONTEMP,,core hcc,,,,,DAP/Perseus,800-343-4499,,Jim Hodges Give More Than You,9781935963028,,15,1/29/15,6/10/15
21786,Pen Case doulble fastener Org,272,25,11,ACCESSORY,BAGS,,,,,,,Sweet Bella,,,Pen Case doulble fastener Org,DLEN605,,15,1/13/15,6/23/15
24213,Corita Kent journal set,218,13.99,7.5546,STATIONERY,JOURNALS,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Corita Kent journal set,9780735343726,,14,6/25/15,5/23/15
24518,Weak Messages Create Bad Situa,1891,35,17.5,BOOKS,CONTEMP,,,,David Shrigley,,,INDEPENDENT PUBLISHERS GROUP,,,Weak Messages Create Bad Situa,9781782114031,,14,6/3/15,6/21/15
22554,Fez tea,325,16,8.4,HOME,EDIBLES,,,loose leaf/tin,,,,Smith Tea,,,Fez,47140,,14,5/5/15,5/27/15
22900,Maple Coconut chocolate,324,8.5,4.25,HOME,EDIBLES,,,,,,,Dick Taylor Chocolate,,,Maple Coconut chocolate,,,14,4/29/15,6/28/15
24318,Twizzlie Lollipop Fruit,323,8,4,HOME,EDIBLES,,,oregon strawberry,,,,Quin Candy,,,Twizzlie Lollipop Orange,,,14,4/24/15,6/26/15
23185,Notecard Best of Luck Foil,9042,5.5,2.5,STATIONERY,NOTECARD,,,,,,,CAROLYN SUZUKI GOODS,,,Notecard Best of Luck Foil,F280,,14,3/19/15,6/19/15
23606,Bubble Factory,255,27,14.85,HOME,,,,,,,,Kiosk,212.226.8601,,Bubble Factory,,,14,3/19/15,5/21/15
22571,Robert Heinecken Object Matte,10019,50,25,EXH CAT,NON-HAMMER,,core hcc,,,,,MUSEUM OF MODERN ART,,,Robert Heinecken Object Matte,9780870709067,,14,10/16/14,1/27/15
24770,Graphite 6,443,12,0,BOOKS,GENERAL,,,,HAMMER,700,,UCLA AT THE HAMMER,,,Graphite 6,,,13,6/25/15,6/27/15
24708,Jam Boysenberry,429,12.5,7.25,HOME,EDIBLES,,,Kevin West Public Program Fashion & Food,Sqirl,,,Sqirl,,,Jam Boysenberry,,,13,6/12/15,6/25/15
24314,Lollipop Pinot Gris,323,7.5,3.5,HOME,EDIBLES,,,oregon strawberry,,,,Quin Candy,,,Lollipop Pinot Gris,,,13,4/24/15,6/19/15
22909,Hammer Hat Lt Grey,248,22,10.95,HAMMER MER,,,,,,,,Ellen's Silkscreening,,,Hammer Hat Lt Grey,GWT 111 THREAD 1924,,13,2/20/15,6/28/15
23260,Sewing Box,370,48,16.2002,HOME,MISC,,,,,,,Daruma,,,Sewing Box,1310-0000,,13,9/30/14,6/27/15
22287,Notecard At the GAte,308,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Red Cap,,,Notecard At the GAte,CHR1246,,13,6/27/14,6/23/15
22078,Foldable Globe Climate,288,34,12.5,HOME,DECOR,,,,,,,Geographica,,,Foldable Globe Climate,FOG-C,,13,2/25/14,6/4/15
24222,Noise journal,218,12.95,6.993,STATIONERY,JOURNALS,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Noise journal,9781616893620,,12,6/25/15,5/31/15
24643,Amazing Age of John Roy Lynch,444,17,9.69,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Amazing Age of John Roy Lynch,9780802853790,,12,6/24/15,
24658,Draw What You See The Life and,444,16.99,9.68,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Draw What You See The Life and,9780544104877,,12,6/24/15,
24659,Emmanuels Dream the True Story,444,17.99,10.25,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Emmanuels Dream the True Story,9780449817445,,12,6/24/15,
24665,God Help the Child,444,24.95,14.22,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,God Help the Child,9780307594174,,12,6/24/15,
24666,Gordon Parks How the Photograp,444,16.99,9.68,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Gordon Parks How the Photograp,9780807530177,,12,6/24/15,
24667,Harlem Renaissance Party,444,17.99,10.25,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Harlem Renaissance Party,9780060579111,,12,6/24/15,
24668,Heart and Soul The Story of Am,444,8.99,5.12,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Heart and Soul The Story of Am,9780061730795,,12,6/24/15,
